SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue,Date,Country
ERI,Africa,2018,SEX_BTSX,20.51227715,2025-01-28T14:13:24.673+01:00,Eritrea
USA,Americas,2021,SEX_BTSX,14.21562781,2025-01-28T14:13:24.673+01:00,United States
DZA,Africa,2017,SEX_FMLE,1.495801852,2025-01-28T14:13:24.673+01:00,Algeria
ALB,Europe,2017,SEX_MLE,4.362738064,2025-01-28T14:13:24.673+01:00,Albania
CMR,Africa,2020,SEX_FMLE,5.657759832,2025-01-28T14:13:24.673+01:00,Cameroon
BRA,Americas,2015,SEX_FMLE,2.627382875,2025-01-28T14:13:24.673+01:00,Brazil
BLR,Europe,2005,SEX_BTSX,34.89486824,2025-01-28T14:13:24.673+01:00,Belarus
PSE,Eastern Mediterranean,2003,SEX_BTSX,0.937246497,2025-01-28T14:13:24.673+01:00,Palestine
GAB,Africa,2013,SEX_MLE,22.45875811,2025-01-28T14:13:24.673+01:00,Gabon
PRI,Americas,2021,SEX_FMLE,1.46081217,2025-01-28T14:13:24.673+01:00,Puerto Rico
DOM,Americas,2002,SEX_BTSX,4.742054637,2025-01-28T14:13:24.673+01:00,Dominican Republic
TJK,Europe,2000,SEX_FMLE,2.810162358,2025-01-28T14:13:24.673+01:00,Tajikistan
BOL,Americas,2011,SEX_FMLE,4.687438219,2025-01-28T14:13:24.673+01:00,Bolivia
CZE,Europe,2013,SEX_FMLE,4.533814957,2025-01-28T14:13:24.673+01:00,Czechia
CHL,Americas,2017,SEX_BTSX,9.092855404,2025-01-28T14:13:24.673+01:00,Chile
KOR,Western Pacific,2009,SEX_FMLE,20.41413833,2025-01-28T14:13:24.673+01:00,South Korea
GEO,Europe,2006,SEX_BTSX,1.536601198,2025-01-28T14:13:24.673+01:00,Georgia
TKM,Europe,2000,SEX_MLE,20.03376463,2025-01-28T14:13:24.673+01:00,Turkmenistan
SUR,Americas,2006,SEX_MLE,38.62074333,2025-01-28T14:13:24.673+01:00,Suriname
CUB,Americas,2021,SEX_MLE,16.18851426,2025-01-28T14:13:24.673+01:00,Cuba
AUT,Europe,2005,SEX_MLE,21.20732381,2025-01-28T14:13:24.673+01:00,Austria
LBR,Africa,2003,SEX_FMLE,5.770355392,2025-01-28T14:13:24.673+01:00,Liberia
WB_UMI,,2010,SEX_BTSX,8.415932082,2025-01-28T14:13:24.673+01:00,not found
